Graphics Card,4K Ultra perf,Price,4k ultra perf/price,RT Perf,RT perf / price,4k+RT perf/price
Radeon RX 6600 ,25.00%,269,0.9293680297,19.20%,0.7137546468,0.8215613383
Radeon RX 6650 XT ,27.90%,330,0.8454545455,23.60%,0.7151515152,0.7803030303
Intel Arc A750 ,27.30%,345,0.7913043478,29.40%,0.852173913,0.8217391304
Radeon RX 6700 XT ,34.80%,459,0.7581699346,29.50%,0.6427015251,0.7004357298
GeForce RTX 3060 ,27.30%,390,0.7,29.60%,0.758974359,0.7294871795
Radeon RX 6750 XT ,37.00%,530,0.6981132075,31.60%,0.5962264151,0.6471698113
Radeon RX 6800 ,45.20%,650,0.6953846154,37.30%,0.5738461538,0.6346153846
GeForce RTX 2060,21.00%,310,0.6774193548,22.80%,0.735483871,0.7064516129
Radeon RX 6800 XT ,51.90%,779,0.6662387677,43.40%,0.5571245186,0.6116816431
Radeon RX7900 XTX,84.50%,1280,0.66015625,77.30%,0.60390625,0.63203125
GeForce RTX 3050 ,20.00%,309,0.6472491909,21.10%,0.6828478964,0.6650485437
Radeon RX 6600 XT ,27.30%,430,0.6348837209,22.90%,0.5325581395,0.5837209302
Intel Arc A770 16GB ,31.60%,509,0.6208251473,36.40%,0.7151277014,0.6679764244
GeForce RTX 3060 Ti ,31.00%,510,0.6078431373,39.60%,0.7764705882,0.6921568627
Radeon RX 6700 10GB ,28.50%,470,0.6063829787,27.10%,0.5765957447,0.5914893617
Radeon RX 6950 XT ,60.40%,1020,0.5921568627,51.50%,0.5049019608,0.5485294118
GeForce RTX 3080 12GB ,57.00%,980,0.5816326531,63.50%,0.6479591837,0.6147959184
GeForce RTX 3080 ,52.10%,900,0.5788888889,58.40%,0.6488888889,0.6138888889
GeForce RTX 3080 Ti ,57.10%,1000,0.571,64.00%,0.64,0.6055
Radeon RX 6900 XT ,55.70%,989,0.5631951466,46.30%,0.4681496461,0.5156723964
GeForce RTX 3070 ,37.10%,662,0.5604229607,44.50%,0.6722054381,0.6163141994
GeForce RTX 4080 ,78.50%,1500,0.5233333333,85.60%,0.5706666667,0.547
GeForce RTX 2070 ,25.40%,500,0.508,27.60%,0.552,0.53
GeForce RTX 3070 Ti ,40.20%,794,0.5062972292,47.60%,0.5994962217,0.5528967254
Intel Arc A380 ,9.00%,180,0.5,9.60%,0.5333333333,0.5166666667
GeForce RTX 4090 ,100.00%,2070,0.4830917874,100.00%,0.4830917874,0.4830917874
GeForce RTX 2060 Super ,24.00%,500,0.48,26.50%,0.53,0.505
GeForce RTX 3090 ,59.10%,1250,0.4728,65.70%,0.5256,0.4992
GeForce RTX 2070 Super ,25.50%,550,0.4636363636,31.20%,0.5672727273,0.5154545455
Radeon RX 6500 XT ,9.00%,200,0.45,6.80%,0.34,0.395
GeForce RTX 3090 Ti ,65.10%,1500,0.434,71.70%,0.478,0.456
GeForce RTX 2080 ,28.70%,1150,0.2495652174,34.10%,0.2965217391,0.2730434783
GeForce RTX 2080 Super ,29.70%,1300,0.2284615385,35.50%,0.2730769231,0.2507692308
GeForce RTX 2080 Ti ,38.30%,1700,0.2252941176,42.50%,0.25,0.2376470588